0   ELMNTNAME SY G P B
    ATWGHT PP T O MELT BOIL
    DISC CONFIG
    R:E R:C OR
1   HYDROGEN H 1 1 S
    1.0079 19 3 6 0014 0020
    1776 1S1
    025 053 31
2   HELIUM HE 18 1 S
    4.0026 20 3 6 0001 0004
    1868 1S2
    000 031 31
3   LITHIUM LI 1 2 S
    6.9410 11 1 6 0453 1620
    1817 HE 2S1
    145 167 32
4   BERYLLIUM BE 2 2 S
    9.0122 12 1 6 1551 3243
    1797 HE 2S2
    105 112 32
5   BORON B 13 2 P
    10.811 17 1 6 2573 2823
    1808 HE 2S2 2P1
    085 087 32
6   CARBON C 14 2 P
    12.010 18 1 6 3773 5100
    0000 HE 2S2 2P2
    070 067 33
7   NITROGEN N 15 2 P
    14.006 19 3 6 0063 0077
    1772 HE 2S2 2P3
    065 056 33
8   OXYGEN O 16 2 P
    15.999 19 3 6 0055 0090
    1774 HE 2S2 2P4
    060 048 33
9   FLUORINE F 17 2 P
    18.998 19 3 6 0053 0085
    1886 HE 2S2 2P5
    050 042 34
10  NEON NE 18 2 P
    20.179 20 3 6 0024 0027
    1898 HE 2S2 2P6
    000 038 33
11  SODIUM NA 1 3 S
    22.989 11 1 6 0371 1156
    1807 NE 3S1
    180 190 34
12  MAGNESIUM MG 2 3 S
    24.305 12 1 6 0912 1363
    1755 NE 3S2
    150 145 34
13  ALUMINIUM AL 13 3 P
    26.981 16 1 6 0933 2740
    1825 NE 3S2 3P1
    125 118 35
14  SILICON SI 14 3 P
    28.085 17 1 6 1683 2628
    1824 NE 3S2 3P2
    110 111 35
15  PHOSPHORUS P 15 3 P
    30.973 18 1 6 0317 0553
    1669 NE 3S2 3P3
    100 098 34
16  SULFUR S 16 3 P
    32.065 18 1 6 0386 0718
    0000 NE 3S2 3P4
    100 088 33
17  CHLORINE CL 17 3 P
    35.453 19 3 6 0172 0238
    1774 NE 3S2 3P5
    100 079 34
18  ARGON AR 18 3 P
    39.948 20 3 6 0084 0087
    1894 NE 3S2 3P6
    071 071 34
19  POTASSIUM K 1 4 S
    39.098 11 1 6 0337 1047
    1807 AR 4S1
    220 243 34
20  CALCIUM CA 2 4 S
    40.078 12 1 6 1112 1757
    1808 AR 4S2
    180 194 34
21  SCANDIUM SC 3 4 D
    44.955 15 1 6 1812 3105
    1879 AR 3D1 4S2
    160 184 34
22  TITANIUM TI 4 4 D
    47.867 15 1 6 1933 3560
    1791 AR 3D2 4S2
    140 176 35
23  VANADIUM V 5 4 D
    50.941 15 1 6 2163 3653
    1830 AR 3D3 4S2
    135 171 35
24  CHROMIUM CR 6 4 D
    51.996 15 1 6 2130 2945
    1797 AR 3D5 4S1
    140 166 34
25  MANGANESE MN 7 4 D
    54.938 15 1 6 1518 2235
    1774 AR 3D5 4S2
    140 161 34
26  IRON FE 8 4 D
    55.845 15 1 6 1808 3023
    0000 AR 3D6 4S2
    140 156 35
27  COBALT CO 9 4 D
    58.933 15 1 6 1768 3143
    1735 AR 3D7 4S2
    135 152 36
28  NICKEL NI 10 4 D
    58.693 15 1 6 1726 3005
    1751 AR 3D8 4S2
    135 149 36
29  COPPER CU 11 4 D
    63.546 15 1 6 1356 2840
    0000 AR 3D10 4S1
    135 145 34
30  ZINC ZN 12 4 D
    65.390 15 1 6 0693 1180
    0000 AR 3D10 4S2
    135 142 34
31  GALLIUM GA 13 4 P
    69.723 16 1 6 0303 2676
    1875 AR 3D10 4S2 4P1
    130 136 36
32  GERMANIUM GE 14 4 P
    72.640 17 1 6 1210 3103
    1886 AR 3D10 4S2 4P2
    125 125 36
33  ARSENIC AS 15 4 P
    74.921 17 1 6 0354 0886
    0000 AR 3D10 4S2 4P3
    115 114 34
34  SELENIUM SE 16 4 P
    78.960 18 1 6 0490 0958
    1817 AR 3D10 4S2 4P4
    115 103 36
35  BROMINE BR 17 4 P
    79.904 19 2 6 0266 0332
    1826 AR 3D10 4S2 4P5
    115 094 36
36  KRYPTON KR 18 4 P
    83.800 20 3 6 0116 0120
    1898 AR 3D10 4S2 4P6
    000 088 36
37  RUBIDIUM RB 1 5 S
    85.467 11 1 6 0312 0961
    1861 KR 5S1
    235 265 36
38  STRONTIUM SR 2 5 S
    87.620 12 1 6 1042 1657
    1790 KR 5S2
    200 219 34
39  YTTRIUM Y 3 5 D
    88.905 15 1 6 1796 3610
    1794 KR 4D1 5S2
    180 212 34
40  ZIRCONIUM ZR 4 5 D
    91.224 15 1 6 2125 4650
    1789 KR 4D2 5S2
    155 206 34
41  NIOBIUM NB 5 5 D
    92.906 15 1 6 2741 5200
    1801 KR 4D4 5S1
    145 198 34
42  MOLYBDENUM MO 6 5 D
    95.940 15 1 6 2890 4885
    1781 KR 4D5 5S1
    145 190 35
43  TECHNETIUM TC 7 5 D
    98.000 15 1 7 2473 5150
    1937 KR 4D5 5S2
    135 183 34
44  RUTHENIUM RU 8 5 D
    101.07 15 1 6 2523 4173
    1844 KR 4D7 5S1
    130 178 35
45  RHODIUM RH 9 5 D
    102.90 15 1 6 2239 4000
    1803 KR 4D8 5S1
    135 173 36
46  PALLADIUM PD 10 5 D
    106.42 15 1 6 1825 3200
    1803 KR 4D10
    140 169 35
47  SILVER AG 11 5 D
    107.86 15 1 6 1235 2485
    0000 KR 4D10 5S1
    160 165 35
48  CADMIUM CD 12 5 D
    112.41 15 1 6 0594 1038
    1817 KR 4D10 5S2
    155 161 35
49  INDIUM IN 13 5 P
    114.81 16 1 6 0430 2273
    1863 KR 4D10 5S2 5P1
    155 156 35
50  TIN SN 14 5 P
    118.71 16 1 6 0505 2543
    0000 KR 4D10 5S2 5P2
    145 145 35
51  ANTIMONY SB 15 5 P
    121.76 17 1 6 0903 2023
    0000 KR 4D10 5S2 5P3
    145 133 36
52  TELLURIUM TE 16 5 P
    127.60 17 1 6 0722 1263
    1783 KR 4D10 5S2 5P4
    140 123 36
53  IODINE I 17 5 P
    126.90 19 1 6 0387 0457
    1811 KR 4D10 5S2 5P5
    140 115 36
54  XENON XE 18 5 P
    131.29 20 3 6 0161 0165
    1898 KR 4D10 5S2 5P6
    000 108 36
55  CAESIUM CS 1 6 S
    132.90 11 1 6 0302 0951
    1860 XE 6S1
    260 298 36
56  BARIUM BA 2 6 S
    137.32 12 1 6 0998 1413
    1808 XE 6S2
    215 253 34
57  LANTHANUM LA 3 6 F
    138.90 13 1 6 1193 3742
    1839 XE 5D1 6S2
    195 000 34
58  CERIUM CE 3 6 F
    140.11 13 1 6 1068 3530
    1803 XE 4F1 5D1 6S2
    185 000 34
59  PRASEODYMIUM PR 3 6 F
    140.90 13 1 6 1208 3400
    1885 XE 4F3 6S2
    185 247 35
60  NEODYMIUM ND 3 6 F
    144.24 13 1 6 1283 3400
    1885 XE 4F4 6S2
    185 206 35
61  PROMETHIUM PM 3 6 F
    145.00 13 1 7 1373 3273
    1945 XE 4F5 6S2
    185 205 35
62  SAMARIUM SM 3 6 F
    150.36 13 1 6 1345 2173
    1879 XE 4F6 6S2
    185 238 35
63  EUROPIUM EU 3 6 F
    151.96 13 1 6 1095 1870
    1901 XE 4F7 6S2
    185 231 36
64  GADOLINIUM GD 3 6 F
    157.25 13 1 6 1584 3506
    1880 XE 4F7 5D1 6S2
    180 233 36
65  TERBIUM TB 3 6 F
    158.92 13 1 6 1633 3314
    1843 XE 4F9 6S2
    175 225 36
66  DYSPROSIUM DY 3 6 F
    162.50 13 1 6 1685 2835
    1886 XE 4F10 6S2
    175 228 36
67  HOLMIUM HO 3 6 F
    164.93 13 1 6 1743 2993
    1867 XE 4F11 6S2
    175 000 36
68  ERBIUM ER 3 6 F
    167.25 13 1 6 1795 2783
    1842 XE 4F12 6S2
    175 226 36
69  THULIUM TM 3 6 F
    168.93 13 1 6 1818 2000
    1879 XE 4F13 6S2
    175 222 36
70  YTTERBIUM YB 3 6 F
    173.04 13 1 6 1097 1739
    1878 XE 4F14 6S2
    175 222 35
71  LUTETIUM LU 3 6 D
    174.96 13 1 6 1929 3588
    1907 XE 4F14 5D1 6S2
    175 217 36
72  HAFNIUM HF 4 6 D
    178.49 15 1 6 2423 5673
    1923 XE 4F14 5D2 6S2
    155 208 35
73  TANTALUM TA 5 6 D
    180.94 15 1 6 3269 5698
    1802 XE 4F14 5D3 6S2
    145 200 35
74  TUNGSTEN W 6 6 D
    183.84 15 1 6 3683 5933
    1783 XE 4F14 5D4 6S2
    135 193 35
75  RHENIUM RE 7 6 D
    186.20 15 1 6 3453 5900
    1925 XE 4F14 5D5 6S2
    135 188 36
76  OSMIUM OS 8 6 D
    190.23 15 1 6 3318 5300
    1803 XE 4F14 5D6 6S2
    130 185 36
77  IRIDIUM IR 9 6 D
    192.21 15 1 6 2683 4800
    1803 XE 4F14 5D7 6S2
    135 180 36
78  PLATINUM PT 10 6 D
    195.07 15 1 6 2045 4100
    1735 XE 4F14 5D9 6S1
    135 177 36
79  GOLD AU 11 6 D
    196.96 15 1 6 1337 3080
    0000 XE 4F14 5D10 6S1
    135 174 36
80  MERCURY HG 12 6 D
    200.59 15 2 6 0234 0630
    0000 XE 4F14 5D10 6S2
    150 171 35
81  THALLIUM TL 13 6 P
    204.38 16 1 6 0576 1730
    1861 XE4F14 5D10 6S2 6P1
    190 156 35
82  LEAD PB 14 6 P
    207.20 16 1 6 0600 2013
    0000 XE4F14 5D10 6S2 6P2
    180 154 36
83  BISMUTH BI 15 6 P
    208.98 16 1 6 0544 1833
    0000 XE4F14 5D10 6S2 6P3
    160 143 36
84  POLONIUM PO 16 6 P
    209.00 16 1 7 0527 1235
    1898 XE4F14 5D10 6S2 6P4
    190 135 36
85  ASTATINE AT 17 6 P
    210.00 17 1 7 0575 0610
    1940 XE4F14 5D10 6S2 6P5
    000 000 36
86  RADON RN 18 6 P
    222.00 20 3 7 0202 0211
    1900 XE4F14 5D10 6S2 6P6
    000 120 36
87  FRANCIUM FR 1 7 S
    223.00 11 1 7 0300 0950
    1939 RN 7S1
    000 000 36
88  RADIUM RA 2 7 S
    226.00 12 1 7 0973 2010
    1898 RN 7S2
    215 000 36
89  ACTINIUM AC 3 7 F
    227.00 14 1 7 1323 3473
    1899 RN 6D1 7S2
    195 000 36
90  THORIUM TH 3 7 F
    232.03 14 1 6 2023 5063
    1829 RN 6D2 7S2
    180 000 36
91  PROTACTINIUM PA 3 7 F
